Vehicle,Timestamp,POS_X,POS_Y,POS_Z,VEL_X,VEL_Y,VEL_Z,Q_W,Q_X,Q_Y,Q_Z
Chaser,1766009165862,0.0,0.0,-0.8548517227172852,0.0,0.0,0.0010941199725493789,0.1258072853088379,0.0,0.0,-0.9920547008514404
Target,1766009165862,0.0,0.0,-2.3160042762756348,0.0,0.0,0.0008685762295499444,0.015006187371909618,0.0,0.0,-0.9998874068260193
Chaser,1766009165933,0.0,0.0,-0.8565917611122131,0.0,0.0,-0.11984812468290329,0.13099627196788788,0.0,0.0,-0.991382896900177
Target,1766009165933,0.0,0.0,-2.3157107830047607,0.0,0.0,0.01058285590261221,0.011479606851935387,0.0,0.0,-0.9999341368675232
Chaser,1766009166000,0.0,0.0,-0.8612341284751892,0.0,0.0,-0.07934454083442688,0.135626882314682,0.0,0.0,-0.9907600283622742
Target,1766009166000,0.0,0.0,-2.31527042388916,0.0,0.0,0.013388831168413162,0.006854234728962183,0.0,0.0,-0.9999765157699585
Chaser,1766009166061,0.0,0.0,-0.8652797937393188,0.0,0.0,-0.15341874957084656,0.14449523389339447,0.0,0.0,-0.9895055294036865
Target,1766009166061,0.0,0.0,-2.3146023750305176,0.0,0.0,0.014060438610613346,-0.0014095365768298507,0.0,0.0,-0.9999990463256836
Chaser,1766009166128,0.0,0.0,-0.8723534941673279,0.0,0.0,-0.2305344045162201,0.150338813662529,0.0,0.0,-0.9886345267295837
Target,1766009166128,0.0,0.0,-2.3141043186187744,0.0,0.0,0.013520259410142899,-0.008944564498960972,0.0,0.0,-0.9999600052833557
Chaser,1766009166191,0.0,0.0,-0.8830495476722717,0.0,0.0,-0.2731117606163025,0.1561572402715683,0.0,0.0,-0.9877322912216187
Target,1766009166191,0.0,0.0,-2.313521385192871,0.0,0.0,0.012355975806713104,-0.019716475158929825,0.0,0.0,-0.9998056292533875
Chaser,1766009166254,0.0,0.0,-0.894984245300293,0.0,0.0,-0.2927854359149933,0.16106170415878296,0.0,0.0,-0.986944317817688
Target,1766009166254,0.0,0.0,-2.3130617141723633,0.0,0.0,0.011199905537068844,-0.030085163190960884,0.0,0.0,-0.9995473623275757
Chaser,1766009166318,0.0,0.0,-0.9075122475624084,0.0,0.0,-0.3027457296848297,0.16519618034362793,0.0,0.0,-0.9862607717514038
Target,1766009166318,0.0,0.0,-2.312617778778076,0.0,0.0,0.009949703700840473,-0.042153872549533844,0.0,0.0,-0.9991111755371094
Chaser,1766009166379,0.0,0.0,-0.9231403470039368,0.0,0.0,-0.3095065951347351,0.16935452818870544,0.0,0.0,-0.9855551719665527
Target,1766009166379,0.0,0.0,-2.3121471405029297,0.0,0.0,0.008513609878718853,-0.05785735696554184,0.0,0.0,-0.9983248710632324
Chaser,1766009166440,0.0,0.0,-0.9334060549736023,0.0,0.0,-0.3125282824039459,0.17162089049816132,0.0,0.0,-0.9851630926132202
Target,1766009166440,0.0,0.0,-2.3118796348571777,0.0,0.0,0.0076512829400599,-0.06853165477514267,0.0,0.0,-0.9976489543914795
Chaser,1766009166502,0.0,0.0,-0.9447078108787537,0.0,0.0,-0.31525734066963196,0.17377044260501862,0.0,0.0,-0.9847862124443054
Target,1766009166502,0.0,0.0,-2.3116202354431152,0.0,0.0,0.006775092799216509,-0.08056343346834183,0.0,0.0,-0.9967495203018188
Chaser,1766009166558,0.0,0.0,-0.9551485776901245,0.0,0.0,-0.3174636960029602,0.17548316717147827,0.0,0.0,-0.98448246717453
Target,1766009166558,0.0,0.0,-2.3114092350006104,0.0,0.0,0.006031455472111702,-0.09189838171005249,0.0,0.0,-0.9957684278488159
Chaser,1766009166618,0.0,0.0,-0.9666178822517395,0.0,0.0,-0.3196742534637451,0.1771077960729599,0.0,0.0,-0.9841914772987366
Target,1766009166618,0.0,0.0,-2.3112058639526367,0.0,0.0,0.005282565485686064,-0.10454901307821274,0.0,0.0,-0.9945197701454163
Chaser,1766009166693,0.0,0.0,-0.9752705693244934,0.0,0.0,-0.321238249540329,0.17817969620227814,0.0,0.0,-0.9839980006217957
